Name	Code	Sector
삼양홀딩스	000070	Financial Services
더존비즈온	012510	Technology
베뉴지	019010	Consumer Cyclical
현대미포조선	010620	Industrials
진양산업	003780	Basic Materials
대창	012800	Basic Materials
대창단조	015230	Industrials
아모레퍼시픽그룹	002790	Consumer Cyclical
부방	014470	Financial Services
삼성전자	005930	Technology
사조산업	007160	Industrials
제이더블유중외제약	001060	Healthcare
문배철강	008420	Basic Materials
이구산업	025820	Basic Materials
씨에스홀딩스	000590	Financial Services
한국가스공사	036460	Energy
한화투자증권	003530	Financial Services
케이지스틸 주식회사	016380	Basic Materials
코웨이주식회사	021240	Consumer Cyclical
케이에이치필룩스	033180	Industrials
신세계	004170	Real Estate
만호제강	001080	Industrials
유성기업	002920	Industrials
아시아나항공	020560	Industrials
롯데지주	004990	Basic Materials
한일철강	002220	Basic Materials
신도리코	029530	Financial Services
인팩	023810	Consumer Cyclical
미창석유공업	003650	Basic Materials
비비안	002070	Consumer Cyclical
환인제약	016580	Healthcare
케이티	030200	Communication Services
한온시스템	018880	Industrials
삼익THK	004380	Industrials
한라	014790	Industrials
원익큐브	014190	Basic Materials
동부건설	005960	Industrials
남해화학	025860	Basic Materials
신화다이나믹스	001770	Basic Materials
서흥	008490	Basic Materials
태영건설	009410	Industrials
오뚜기	007310	Financial Services
유니온	000910	Basic Materials
한국공항	005430	Industrials
삼성증권	016360	Financial Services
현대비앤지스틸	004560	Basic Materials
강남제비스코	000860	Basic Materials
케이피에프	024880	Industrials
삼영화학공업	003720	Basic Materials
SK텔레콤	017670	Communication Services
삼성화재해상보험	000810	Financial Services
에이치엠엠	011200	Industrials
교보증권	030610	Financial Services
코리아써키트	007810	Technology
한국카본	017960	Basic Materials
서울도시가스	017390	Utilities
한솔케미칼	014680	Basic Materials
한국알콜산업	017890	Basic Materials
퍼시스	016800	Financial Services
대한해운	005880	Energy
대성창업투자	027830	Financial Services
동양	001520	Basic Materials
대한화섬	003830	Basic Materials
한세예스24홀딩스	016450	Financial Services
태림포장	011280	Financial Services
한국수출포장공업	002200	Consumer Cyclical
대성홀딩스	016710	Financial Services
노루홀딩스	000320	Basic Materials
우성	006980	Basic Materials
한국유나이티드제약	033270	Healthcare
진로발효	018120	Consumer Defensive
포스코엠텍	009520	Basic Materials
한국콜마홀딩스	024720	Financial Services
신풍제지	002870	Consumer Cyclical
화천기공	000850	Industrials
이화산업	000760	Basic Materials
태경비케이	014580	Basic Materials
일지테크	019540	Consumer Cyclical
웰바이오텍	010600	Financial Services
천일고속	000650	Real Estate
극동유화	014530	Financial Services
케이지케미칼	001390	Financial Services
써니전자	004770	Technology
에스지씨에너지	005090	Utilities
동원금속	018500	Consumer Cyclical
피제이전자	006140	Technology
신라에스지	025870	Consumer Defensive
고려산업	002140	Consumer Defensive
흥구석유	024060	Energy
파미셀	005690	Healthcare
메이슨캐피탈	021880	Financial Services
알루코	001780	Industrials
남성	004270	Communication Services
매일홀딩스	005990	Consumer Defensive
SK증권	001510	Financial Services
백산	035150	Consumer Cyclical
삼성SDI	006400	Industrials
우리엔터프라이즈	037400	Industrials
S-OIL	010950	Energy
성안	011300	Real Estate
삼성중공업	010140	Industrials
디엘	000210	Basic Materials
선앤엘	002820	Consumer Cyclical
깨끗한나라	004540	Consumer Cyclical
오스템	031510	Financial Services
부광약품	003000	Healthcare
심팩	009160	Basic Materials
리더스기술투자	019570	Financial Services
전방	000950	Consumer Cyclical
대원강업	000430	Consumer Cyclical
서한	011370	Industrials
대신증권	003540	Financial Services
에이치디씨	012630	Financial Services
디비금융투자	016610	Financial Services
제일파마홀딩스	002620	Financial Services
디씨엠	024090	Basic Materials
코리아나화장품	027050	Healthcare
삼화전기	009470	Technology
대원제약	003220	Healthcare
영풍제지	006740	Basic Materials
한국앤컴퍼니	000240	Financial Services
화승인더스트리	006060	Basic Materials
티씨씨스틸	002710	Basic Materials
조선내화	000480	Basic Materials
신원종합개발	017000	Real Estate
동원개발	013120	Real Estate
동국제강	001230	Basic Materials
태광산업	003240	Basic Materials
이수화학	005950	Financial Services
DRB동일	004840	Basic Materials
롯데케미칼	011170	Basic Materials
현대건설	000720	Financial Services
DB 하이텍	000990	Technology
부국철강	026940	Basic Materials
세하	027970	Basic Materials
경인전자	009140	Technology
한올바이오파마	009420	Healthcare
신원	009270	Industrials
대양금속	009190	Basic Materials
한독	002390	Healthcare
하이트진로	000080	Consumer Defensive
NH투자증권	005940	Financial Services
신영증권	001720	Financial Services
대림통상	006570	Basic Materials
모베이스전자	012860	Technology
경동인베스트	012320	Real Estate
삼화왕관	004450	Consumer Defensive
태경산업	015890	Basic Materials
태양금속공업	004100	Consumer Cyclical
동서	026960	Financial Services
삼화전자공업	011230	Technology
일성신약	003120	Financial Services
디아이	003160	Technology
범양건영	002410	Industrials
이건산업	008250	Basic Materials
동원시스템즈	014820	Consumer Cyclical
원풍물산	008290	Consumer Cyclical
광동제약	009290	Healthcare
에이티넘인베스트먼트	021080	Financial Services
삼익악기	002450	Consumer Cyclical
풀무원	017810	Consumer Defensive
큐로	015590	Financial Services
성문전자	014910	Technology
영보화학	014440	Financial Services
대한제분	001130	Consumer Defensive
에이프로젠제약	003060	Healthcare
동원수산	030720	Consumer Defensive
한국특강	007280	Basic Materials
동남합성	023450	Financial Services
유화증권	003460	Financial Services
지누스	013890	Consumer Cyclical
현대자동차	005380	Consumer Cyclical
풍산홀딩스	005810	Basic Materials
삼성엔지니어링	028050	Industrials
사조대림	003960	Consumer Defensive
경창산업	024910	Consumer Cyclical
대현	016090	Consumer Cyclical
미래에셋증권	006800	Financial Services
상상인증권	001290	Financial Services
인지컨트롤스	023800	Consumer Cyclical
유안타증권	003470	Financial Services
평화홀딩스	010770	Financial Services
보령	003850	Healthcare
성보화학	003080	Basic Materials
현대해상화재보험	001450	Financial Services
서울식품공업	004410	Consumer Defensive
스틱인베스트먼트	026890	Financial Services
이지홀딩스	035810	Energy
부산산업	011390	Basic Materials
서연	007860	Financial Services
진흥기업	002780	Industrials
뉴인텍	012340	Technology
티에이치엔	019180	Financial Services
보성파워텍	006910	Industrials
진양폴리우레탄	010640	Basic Materials
쌍용씨앤이	003410	Basic Materials
송원산업	004430	Basic Materials
넥센	005720	Industrials
브이티지엠피	018290	Healthcare
롯데칠성음료	005300	Consumer Defensive
한국가구	004590	Consumer Cyclical
디와이	013570	Financial Services
광전자	017900	Technology
크라운해태홀딩스	005740	Consumer Defensive
하이록코리아	013030	Industrials
영원무역홀딩스	009970	Consumer Cyclical
에이엔피	015260	Technology
삼륭물산	014970	Consumer Defensive
백광산업	001340	Basic Materials
현대모비스	012330	Financial Services
한창제지	009460	Consumer Defensive
부국증권	001270	Financial Services
한화손해보험	000370	Financial Services
대상	001680	Consumer Defensive
제일기획	030000	Communication Services
빙그레	005180	Consumer Defensive
모토닉	009680	Consumer Cyclical
LX인터내셔널	001120	Industrials
신일제약	012790	Healthcare
황금에스티	032560	Basic Materials
휴먼엔	032860	Basic Materials
제주은행	006220	Financial Services
계양전기	012200	Basic Materials
세방전지	004490	Industrials
아세아제지	002310	Financial Services
롯데정밀화학	004000	Basic Materials
티와이엠	002900	Industrials
롯데손해보험	000400	Financial Services
조아제약	034940	Healthcare
유수홀딩스	000700	Financial Services
한양증권	001750	Financial Services
팜스코	036580	Consumer Defensive
유진투자증권	001200	Financial Services
일진홀딩스	015860	Financial Services
경농	002100	Basic Materials
미래산업	025560	Financial Services
사조동아원	008040	Basic Materials
중앙에너비스	000440	Energy
예스코홀딩스	015360	Energy
위스컴	024070	Basic Materials
엔피씨	004250	Industrials
금비	008870	Basic Materials
동성화인텍	033500	Energy
모나리자	012690	Financial Services
유니켐	011330	Consumer Cyclical
동성제약	002210	Healthcare
웅진	016880	Real Estate
코스모신소재	005070	Basic Materials
케이비아이동국실업	001620	Consumer Cyclical
가온전선	000500	Industrials
혜인	003010	Industrials
코리안리재보험	003690	Financial Services
동방아그로	007590	Basic Materials
서원	021050	Financial Services
모아텍	033200	Consumer Cyclical
기산텔레콤	035460	Industrials
현대엘리베이터	017800	Financial Services
삼부토건	001470	Industrials
대동전자	008110	Consumer Cyclical
녹십자	006280	Healthcare
경동나비엔	009450	Industrials
세우글로벌	013000	Financial Services
비엔지티	032790	Consumer Defensive
보락	002760	Healthcare
한화에어로스페이스	012450	Industrials
에쓰씨엔지니어링	023960	Industrials
한신기계공업	011700	Industrials
한솔PNS	010420	Technology
에이케이홀딩스	006840	Financial Services
선도전기	007610	Industrials
비트컴퓨터	032850	Technology
디엘건설	001880	Industrials
에이치엘비글로벌	003580	Basic Materials
대원화성	024890	Consumer Cyclical
대신정보통신	020180	Technology
대우전자부품	009320	Technology
글로본	019660	Consumer Defensive
갤럭시아 에스엠	011420	Communication Services
흥국화재해상보험	000540	Financial Services
에스원	012750	Technology
오씨아이	010060	Basic Materials
조광페인트	004910	Basic Materials
KB오토시스	024120	Consumer Cyclical
보해양조	000890	Consumer Defensive
부산주공	005030	Industrials
한창	005110	Utilities
제룡전기	033100	Industrials
화성산업	002460	Real Estate
MH에탄올	023150	Consumer Defensive
성신양회	004980	Basic Materials
콤텍시스템	031820	Financial Services
원익	032940	Healthcare
삼성공조	006660	Industrials
세원정공	021820	Consumer Cyclical
세보엠이씨	011560	Industrials
한솔테크닉스	004710	Financial Services
신흥	004080	Healthcare
인스코비	006490	Communication Services
성창기업지주	000180	Real Estate
화천기계	010660	Industrials
메디앙스	014100	Healthcare
조광피혁	004700	Consumer Cyclical
무학	033920	Consumer Cyclical
메리츠화재해상보험	000060	Financial Services
한국화장품제조	003350	Consumer Defensive
에넥스	011090	Consumer Cyclical
대구백화점	006370	Financial Services
신성이엔지	011930	Industrials
대림비앤코	005750	Financial Services
금양	001570	Basic Materials
성우하이텍	015750	Consumer Cyclical
팜스토리	027710	Financial Services
삼진제약	005500	Healthcare
태광	023160	Industrials
STX	011810	Industrials
유유제약	000220	Healthcare
태원물산	001420	Basic Materials
한솔홀딩스	004150	Basic Materials
동국산업	005160	Basic Materials
동양철관	008970	Basic Materials
인성정보	033230	Technology
까뮤이앤씨	013700	Industrials
일동홀딩스	000230	Healthcare
그래디언트	035080	Financial Services
판타지오	032800	Communication Services
씨비아이 주식회사	013720	Consumer Cyclical
영진약품	003520	Healthcare
대한약품공업	023910	Healthcare
신성통상	005390	Consumer Cyclical
에스제이엠홀딩스	025530	Industrials
SK네트웍스	001740	Communication Services
동일철강	023790	Basic Materials
한솔로지스틱스	009180	Industrials
지에스글로벌	001250	Financial Services
남광토건	001260	Industrials
엠케이전자	033160	Technology
에스지글로벌	001380	Consumer Cyclical
한신공영	004960	Industrials
디비손해보험	005830	Financial Services
에스비에스	034120	Communication Services
카스	016920	Industrials
드래곤플라이	030350	Communication Services
휴스틸	005010	Industrials
큐캐피탈파트너스	016600	Financial Services
대영포장	014160	Financial Services
이화공영	001840	Industrials
국보	001140	Consumer Cyclical
디지틀조선일보	033130	Communication Services
에스피씨삼립	005610	Consumer Defensive
대동기어	008830	Industrials
세기상사	002420	Financial Services
코콤	015710	Technology
동신건설	025950	Industrials
무림피앤피	009580	Basic Materials
엔에스엔	031860	Healthcare
CJ씨푸드	011150	Consumer Defensive
한일단조공업	024740	Industrials
다올투자증권	030210	Financial Services
바른손이앤에이	035620	Communication Services
삼보산업	009620	Industrials
휴맥스홀딩스	028080	Financial Services
바이온	032980	Consumer Defensive
에이치엘비	028300	Healthcare
에스비아이인베스트먼트	019550	Financial Services
한일사료	005860	Consumer Defensive
한국내화	010040	Basic Materials
디모아	016670	Technology
피델릭스	032580	Technology
태경케미컬	006890	Basic Materials
티제이미디어	032540	Communication Services
예림당	036000	Communication Services
대호특수강	021040	Industrials
광무	029480	Industrials
경동제약	011040	Healthcare
동일기연	032960	Healthcare
바른손	018700	Consumer Cyclical
세명전기공업	017510	Basic Materials
소프트센	032680	Technology
파라텍	033540	Industrials
피에스케이홀딩스	031980	Technology
원익홀딩스	030530	Technology
씨제이이엔엠	035760	Communication Services
대성엘텍	025440	Consumer Cyclical
시공테크	020710	Consumer Cyclical
유성티엔에스	024800	Industrials
삼천리자전거	024950	Consumer Cyclical
서희건설	035890	Real Estate
제이씨현시스템	033320	Technology
플레이위드	023770	Consumer Cyclical
국영지앤엠	006050	Industrials
유비케어	032620	Healthcare
선광	003100	Industrials
한국정보통신	025770	Technology
대명소노시즌	007720	Consumer Cyclical
에스씨아이평가정보	036120	Financial Services
서울전자통신	027040	Technology
아이즈비전	031310	Communication Services
위지트	036090	Technology
하이트론씨스템즈	019490	Technology
삼양식품	003230	Consumer Defensive
동아쏘시오홀딩스	000640	Basic Materials
휴니드테크놀러지스	005870	Industrials
대유플러스	000300	Consumer Cyclical
제이준코스메틱	025620	Healthcare
삼성제약	001360	Healthcare
대한방직	001070	Basic Materials
인디에프	014990	Consumer Cyclical
미원상사	002840	Basic Materials
에스지세계물산	004060	Consumer Cyclical
한익스프레스	014130	Industrials
조흥	002600	Consumer Defensive
흥아해운	003280	Financial Services
케이씨	029460	Technology
수산중공업	017550	Industrials
씨제이대한통운	000120	Industrials
쎌마테라퓨틱스	015540	Healthcare
일신석재	007110	Basic Materials
대덕	008060	Financial Services
에스앤티중공업	003570	Industrials
SH에너지화학	002360	Financial Services
남선알미늄	008350	Basic Materials
영화금속	012280	Consumer Cyclical
아센디오	012170	Financial Services
신일전자	002700	Consumer Cyclical
일양약품	007570	Healthcare
아이에이치큐	003560	Communication Services
코스모화학	005420	Basic Materials
넥센타이어	002350	Consumer Cyclical
금강공업	014280	Financial Services
대유에이텍	002880	Industrials
케이알모터스	000040	Consumer Cyclical
조비	001550	Basic Materials
윌비스	008600	Consumer Defensive
와이투솔루션	011690	Industrials
페이퍼코리아	001020	Communication Services
티웨이홀딩스	004870	Technology
일성건설	013360	Industrials
삼보판지	023600	Basic Materials
엠투엔	033310	Basic Materials
푸른상호저축은행	007330	Financial Services
삼아알미늄	006110	Basic Materials
고려제강	002240	Basic Materials
유니크	011320	Consumer Cyclical
에스지씨이테크건설	016250	Industrials
스페코	013810	Industrials
좋은사람들	033340	Financial Services
영풍정밀	036560	Industrials
파세코	037070	Consumer Cyclical
세종텔레콤	036630	Communication Services
심텍홀딩스	036710	Financial Services
에이스침대	003800	Consumer Cyclical
경방	000050	Real Estate
풍국주정공업	023900	Basic Materials
삼목에스폼	018310	Industrials
삼일	032280	Energy
무림에스피	001810	Basic Materials
하림지주	003380	Financial Services
감성코퍼레이션	036620	Technology
이지	037370	Basic Materials
성도이엔지	037350	Industrials
제일테크노스	038010	Industrials
한탑	002680	Consumer Defensive
코맥스	036690	Technology
솔브레인홀딩스	036830	Financial Services
에프에스티	036810	Technology
동화기업	025900	Basic Materials
광명전기	017040	Financial Services
리드코프	012700	Financial Services
레드캡투어	038390	Consumer Cyclical
희림종합건축사사무소	037440	Industrials
마크로젠	038290	Healthcare
모헨즈	006920	Basic Materials
경남스틸	039240	Basic Materials
에스앤티홀딩스	036530	Financial Services
화성밸브	039610	Industrials
케이엠더블유	032500	Technology
에코플라스틱	038110	Consumer Cyclical
콘텐트리중앙	036420	Communication Services
대한광통신	010170	Technology
쎄니트	037760	Basic Materials
대성미생물연구소	036480	Healthcare
에스넷시스템	038680	Technology
에스엠엔터테인먼트	041510	Communication Services
에스지엔지	040610	Industrials
아이에이	038880	Technology
쌍용정보통신	010280	Technology
나이스정보통신	036800	Communication Services
위즈코프	038620	Utilities
이건홀딩스	039020	Technology
파인디지털	038950	Technology
나이스평가정보	030190	Financial Services
에스에이엠티	031330	Technology
에이치알에스	036640	Basic Materials
세중	039310	Industrials
골드퍼시픽	038530	Consumer Defensive
우리기술투자	041190	Financial Services
안국약품	001540	Healthcare
다산네트웍스	039560	Technology
바이오스마트	038460	Financial Services
우리기술	032820	Financial Services
네오위즈홀딩스	042420	Financial Services
디오	039840	Healthcare
한국정보공학	039740	Industrials
엔씨소프트	036570	Communication Services
에스씨디	042110	Industrials
파루	043200	Technology
삼아제약	009300	Healthcare
진성티이씨	036890	Industrials
현대에이치티	039010	Technology
지니뮤직	043610	Communication Services
진양제약	007370	Healthcare
정상제이엘에스	040420	Consumer Defensive
코아시아	045970	Technology
비츠로테크	042370	Financial Services
솔고바이오메디칼	043100	Healthcare
오공	045060	Basic Materials
파나진	046210	Healthcare
나노엔텍	039860	Healthcare
